timestamp,active_streams,total_packets,total_reconnects,error_streams,cpu_percent,memory_mb,disk_read_mb,disk_write_mb
2026-08-10T03:33:10,10,4620,0,0,2.7,68,0.0,0.0
2026-08-10T03:33:10,10,4660,0,0,2.7,68,0.0,0.0
2026-08-10T03:33:10,10,4690,0,0,2.8,68,0.0,0.0
2026-08-10T03:33:10,10,4720,0,0,2.8,68,0.0,0.0
2026-08-10T03:33:10,10,4760,0,0,2.8,68,0.0,0.0
2026-08-10T03:33:10,10,4800,0,0,2.8,69,0.0,0.0
2026-08-10T03:33:10,10,4830,0,0,2.8,69,0.0,0.0
2026-08-10T03:33:10,10,4870,0,0,2.7,69,0.0,0.0
2026-08-10T03:33:11,10,4910,0,0,2.7,69,0.0,0.3
2026-08-10T03:33:11,10,4940,0,0,2.7,69,0.0,0.0
2026-08-10T03:33:11,10,4980,0,0,2.7,69,0.0,0.0
2026-08-10T03:33:11,10,5000,0,0,2.8,71,0.0,0.0
2026-08-10T03:33:11,10,5040,0,0,2.8,71,0.0,0.0
2026-08-10T03:33:11,10,5070,0,0,2.8,71,0.0,0.0
2026-08-10T03:33:11,10,5120,0,0,2.8,71,0.0,0.0
2026-08-10T03:33:11,10,5150,0,0,2.7,71,0.0,0.0
2026-08-10T03:33:12,10,5180,0,0,2.7,71,0.0,0.2
2026-08-10T03:33:12,10,5230,0,0,2.7,71,0.0,0.0
2026-08-10T03:33:12,10,5260,0,0,2.7,71,0.0,0.0
2026-08-10T03:33:12,10,5290,0,0,2.7,71,0.0,0.0
2026-08-10T03:33:12,10,5320,0,0,2.7,71,0.0,0.0
2026-08-10T03:33:12,10,5370,0,0,2.8,71,0.0,0.0
2026-08-10T03:33:12,10,5400,0,0,2.8,71,0.0,0.0
2026-08-10T03:33:12,10,5430,0,0,2.6,71,0.0,0.0
2026-08-10T03:33:13,10,5480,0,0,2.6,72,0.0,0.0
2026-08-10T03:33:13,10,5510,0,0,2.7,72,0.0,0.0
2026-08-10T03:33:13,10,5550,0,0,2.7,72,0.0,0.0
2026-08-10T03:33:13,10,5570,0,0,2.7,72,0.0,0.0
2026-08-10T03:33:13,10,5620,0,0,2.7,74,0.0,0.0
2026-08-10T03:33:13,10,5640,0,0,2.7,74,0.0,0.0
2026-08-10T03:33:13,10,5690,0,0,2.7,74,0.0,0.0
2026-08-10T03:33:13,10,5720,0,0,2.8,74,0.0,0.0
